Source,Target,Attributes
470263294209646747310849503999502864558798660546,1,"{'avg_min_between_sent': 164.94, 'avg_min_between_received': 0.0, 'time_diff': 329.88, 'sent_txns': 2, 'received_txns': 1, 'min_value_received': 101.0, 'max_value_received': 101.0, 'min_val_sent': 0.01, 'max_val_sent': 100.989016, 'total_txns': 3, 'total_ether_sent': 100.9990158, 'total_ether_received': 101.0}"
482032396123393794542434108649902245760799761317,1,"{'avg_min_between_sent': 15.48, 'avg_min_between_received': 0.0, 'time_diff': 46.43, 'sent_txns': 3, 'received_txns': 1, 'min_value_received': 101.0, 'max_value_received': 101.0, 'min_val_sent': 0.58, 'max_val_sent': 96.691488, 'total_txns': 4, 'total_ether_sent': 100.998446, 'total_ether_received': 101.0}"
1391007803505869787528529022272443146013556472571,39,"{'avg_min_between_sent': 3483.35, 'avg_min_between_received': 11672.82, 'time_diff': 573673.87, 'sent_txns': 34, 'received_txns': 39, 'min_value_received': 0.000441, 'max_value_received': 0.2791, 'min_val_sent': 0.012929, 'max_val_sent': 0.27868, 'total_txns': 73, 'total_ether_sent': 1.771358459, 'total_ether_received': 1.797542099}"
100922202371052510447791411203056692120322032038,1,"{'avg_min_between_sent': 22.77, 'avg_min_between_received': 0.0, 'time_diff': 68.3, 'sent_txns': 3, 'received_txns': 1, 'min_value_received': 101.0, 'max_value_received': 101.0, 'min_val_sent': 0.99916, 'max_val_sent': 55.13695600000001, 'total_txns': 4, 'total_ether_sent': 100.998446, 'total_ether_received': 101.0}"
92605617492539340995576609438144618824354226875,15,"{'avg_min_between_sent': 3754.31, 'avg_min_between_received': 9279.18, 'time_diff': 157959.3, 'sent_txns': 5, 'received_txns': 15, 'min_value_received': 0.00366, 'max_value_received': 1.0, 'min_val_sent': 0.1, 'max_val_sent': 4.353818, 'total_txns': 20, 'total_ether_sent': 7.48381845, 'total_ether_received': 7.48747245}"
835735494827132979583540988964612686976783058445,2,"{'avg_min_between_sent': 159.49, 'avg_min_between_received': 0.84, 'time_diff': 320.67, 'sent_txns': 2, 'received_txns': 2, 'min_value_received': 47.835005, 'max_value_received': 53.164995, 'min_val_sent': 1.99951, 'max_val_sent': 98.999505, 'total_txns': 4, 'total_ether_sent': 100.9990158, 'total_ether_received': 101.0}"
20341852641051823846359925727072664396930713896,1,"{'avg_min_between_sent': 15.95, 'avg_min_between_received': 0.0, 'time_diff': 63.8, 'sent_txns': 4, 'received_txns': 1, 'min_value_received': 101.0, 'max_value_received': 101.0, 'min_val_sent': 0.001, 'max_val_sent': 47.33595, 'total_txns': 5, 'total_ether_sent': 100.9979, 'total_ether_received': 101.0}"
266898879452499171677558507869402616583586350431,17,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 13339.12, 'time_diff': 226765.03, 'sent_txns': 0, 'received_txns': 17, 'min_value_received': 0.0, 'max_value_received': 12.301984, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 18, 'total_ether_sent': 0.0, 'total_ether_received': 76.02252603}"
935229205211687164825723614204402957311258538549,1,"{'avg_min_between_sent': 485.61, 'avg_min_between_received': 0.0, 'time_diff': 971.22, 'sent_txns': 2, 'received_txns': 1, 'min_value_received': 0.98029, 'max_value_received': 0.98029, 'min_val_sent': 1.23, 'max_val_sent': 1.24, 'total_txns': 3, 'total_ether_sent': 2.47, 'total_ether_received': 0.98029}"
170606189823109723358663827965199353321336571192,30,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 60.26, 'time_diff': 1807.93, 'sent_txns': 0, 'received_txns': 30, 'min_value_received': 0.031, 'max_value_received': 76.0, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 31, 'total_ether_sent': 0.0, 'total_ether_received': 180.9939065}"
565588614691542643554765059985667586426764855795,114,"{'avg_min_between_sent': 6.67, 'avg_min_between_received': 8878.05, 'time_diff': 1012851.48, 'sent_txns': 113, 'received_txns': 114, 'min_value_received': 0.158, 'max_value_received': 246.0, 'min_val_sent': 0.989257, 'max_val_sent': 245.999022, 'total_txns': 227, 'total_ether_sent': 535.0547369, 'total_ether_received': 535.1287535}"
700574347796763959187778428740601756218351259262,1,"{'avg_min_between_sent': 62.42, 'avg_min_between_received': 0.0, 'time_diff': 312.12, 'sent_txns': 5, 'received_txns': 1, 'min_value_received': 101.0, 'max_value_received': 101.0, 'min_val_sent': 0.146232, 'max_val_sent': 99.666356, 'total_txns': 6, 'total_ether_sent': 100.9975187, 'total_ether_received': 101.0}"
945546158028256087019275214402392018459500148691,1,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 0.0, 'time_diff': 0.0, 'sent_txns': 0, 'received_txns': 1, 'min_value_received': 0.032128, 'max_value_received': 0.032128, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 1, 'total_ether_sent': 0.0, 'total_ether_received': 0.03212758}"
59970545023889800506805067609214252468029000808,146,"{'avg_min_between_sent': 5.95, 'avg_min_between_received': 2723.09, 'time_diff': 398398.52, 'sent_txns': 139, 'received_txns': 146, 'min_value_received': 1.094, 'max_value_received': 373.0, 'min_val_sent': 1.089091, 'max_val_sent': 626.9949889999998, 'total_txns': 285, 'total_ether_sent': 18579.00025, 'total_ether_received': 18579.25112}"
177003001620403181190934384031381902088250105792,1,"{'avg_min_between_sent': 51613.33, 'avg_min_between_received': 0.0, 'time_diff': 103226.67, 'sent_txns': 2, 'received_txns': 1, 'min_value_received': 0.25208, 'max_value_received': 0.25208, 'min_val_sent': 0.015, 'max_val_sent': 0.235535, 'total_txns': 3, 'total_ether_sent': 0.250535195, 'total_ether_received': 0.25207966}"
448974673181733644867265023992150175389041999031,3,"{'avg_min_between_sent': 160.51, 'avg_min_between_received': 0.48, 'time_diff': 322.47, 'sent_txns': 2, 'received_txns': 3, 'min_value_received': 16.466480999999998, 'max_value_received': 56.99895, 'min_val_sent': 5.0, 'max_val_sent': 95.999016, 'total_txns': 5, 'total_ether_sent': 100.9990158, 'total_ether_received': 101.0}"
569820979424600640105350796931003087452212493879,1,"{'avg_min_between_sent': 22850.64, 'avg_min_between_received': 0.0, 'time_diff': 91402.57, 'sent_txns': 4, 'received_txns': 1, 'min_value_received': 0.007498, 'max_value_received': 0.007498, 'min_val_sent': 0.0, 'max_val_sent': 0.005609, 'total_txns': 5, 'total_ether_sent': 0.005608794, 'total_ether_received': 0.007498475}"
745163820690369769645346317106892653647150993423,2,"{'avg_min_between_sent': 13143.42, 'avg_min_between_received': 5157.08, 'time_diff': 115461.55, 'sent_txns': 8, 'received_txns': 2, 'min_value_received': 0.2, 'max_value_received': 5.925143, 'min_val_sent': 0.0, 'max_val_sent': 5.0, 'total_txns': 10, 'total_ether_sent': 6.112893412000001, 'total_ether_received': 6.12514349}"
328477671134111755946221627757487047271876744236,8,"{'avg_min_between_sent': 11202.05, 'avg_min_between_received': 17632.22, 'time_diff': 320290.55, 'sent_txns': 16, 'received_txns': 8, 'min_value_received': 1e-05, 'max_value_received': 72.88171, 'min_val_sent': 0.0, 'max_val_sent': 55.7128, 'total_txns': 24, 'total_ether_sent': 99.15289054, 'total_ether_received': 98.04171979}"
622787597093875274572871376333877083098471723791,4,"{'avg_min_between_sent': 9590.14, 'avg_min_between_received': 45144.95, 'time_diff': 218940.35, 'sent_txns': 4, 'received_txns': 4, 'min_value_received': 3.0, 'max_value_received': 14.159118, 'min_val_sent': 0.003711, 'max_val_sent': 19.171713, 'total_txns': 8, 'total_ether_sent': 26.25592155, 'total_ether_received': 26.258175}"
479957485536731502067581836368034955649433302373,2,"{'avg_min_between_sent': 2.86, 'avg_min_between_received': 29123.29, 'time_diff': 58252.3, 'sent_txns': 2, 'received_txns': 2, 'min_value_received': 1.25, 'max_value_received': 1.899627, 'min_val_sent': 1.249425, 'max_val_sent': 1.899138, 'total_txns': 4, 'total_ether_sent': 3.148563909, 'total_ether_received': 3.14962741}"
156793007563367446902847997234425782618650864108,25,"{'avg_min_between_sent': 15754.37, 'avg_min_between_received': 116.72, 'time_diff': 65935.55, 'sent_txns': 4, 'received_txns': 25, 'min_value_received': 0.097853, 'max_value_received': 14.010748, 'min_val_sent': 0.3, 'max_val_sent': 25.931813, 'total_txns': 29, 'total_ether_sent': 40.75097855, 'total_ether_received': 40.75442255}"
806707556247923613571410133038063415202577039246,1,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 0.0, 'time_diff': 12.65, 'sent_txns': 1, 'received_txns': 1, 'min_value_received': 7.174083, 'max_value_received': 7.174083, 'min_val_sent': 7.173578999999998, 'max_val_sent': 7.173578999999998, 'total_txns': 2, 'total_ether_sent': 7.17357913, 'total_ether_received': 7.17408313}"
258434331829519837566576831444849144005684714756,1,"{'avg_min_between_sent': 326.93, 'avg_min_between_received': 0.0, 'time_diff': 653.87, 'sent_txns': 2, 'received_txns': 1, 'min_value_received': 2.084104, 'max_value_received': 2.084104, 'min_val_sent': 0.144871, 'max_val_sent': 1.93, 'total_txns': 3, 'total_ether_sent': 2.07487085, 'total_ether_received': 2.08410367}"
959007156529106686820777433427655869572652237790,2,"{'avg_min_between_sent': 162.19, 'avg_min_between_received': 0.21, 'time_diff': 324.8, 'sent_txns': 2, 'received_txns': 2, 'min_value_received': 13.864049, 'max_value_received': 87.135951, 'min_val_sent': 10.0, 'max_val_sent': 90.998974, 'total_txns': 4, 'total_ether_sent': 100.9989738, 'total_ether_received': 101.0}"
832744034503931911090250914873526223611156148075,112,"{'avg_min_between_sent': 0.0, 'avg_min_between_received': 2602.46, 'time_diff': 291476.02, 'sent_txns': 0, 'received_txns': 112, 'min_value_received': 0.0, 'max_value_received': 0.445626, 'min_val_sent': 0.0, 'max_val_sent': 0.0, 'total_txns': 113, 'total_ether_sent': 0.0, 'total_ether_received': 26.36178532}"
990464024653590566697403287274961650983885916974,1,"{'avg_min_between_sent': 155.61, 'avg_min_between_received': 0.0, 'time_diff': 311.22, 'sent_txns': 2, 'received_txns': 1, 'min_value_received': 101.0, 'max_value_received': 101.0, 'min_val_sent': 0.547765, 'max_val_sent': 100.451251, 'total_txns': 3, 'total_ether_sent': 100.9990158, 'total_ether_received': 101.0}"
